"long","lat","id","densityThreshold","avgScore","numTweets","stdDev","batchNum","geoData"
-78.72838902,42.15671419,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.44050925,42.08314674,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.72833588,42.1567297,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.68695568,42.16061732,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.72835256,42.15675401,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.72829682,42.156797,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.6663017,42.2622186,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.44795009,42.07918452,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.9880962,42.1539597,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.73822867,42.16072646,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.72853016,42.15706387,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.73708597,42.16033658,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.98241414,42.15956518,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.73747584,42.16058791,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.5117623,42.0971193,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.49982141,42.08751953,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.45664219,42.33969268,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.72478656,42.15382105,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.944828,42.2197524,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.73869013,42.1611206,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.39473387,42.16151878,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.41055731,42.07345017,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.71418173,42.15706705,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.74585678,42.16992088,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.74598264,42.16986129,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.48212121,42.08095,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.7283223,42.15663431,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.45655731,42.33962449,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.72868674,42.15659729,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.74408595,42.15894388,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.767045,42.1574687,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.47742294,42.08005251,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.44316281,42.082744,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.72453918,42.15536752,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.73477489,42.16051782,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.48639757,42.08335278,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.4428891,42.083642,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.48602784,42.08310835,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.49709668,42.09134881,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.65110354,42.25388378,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.73870262,42.1607546,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.65110338,42.25388389,1,3e-04,0.201278571428571,42,0.0358169932474569,6,"WGS84"
-78.8146738,42.9289859,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.87491877,42.89050964,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.79693546,42.93970161,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.74840146,42.9183669,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.8147643,42.9289152,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.71370468,42.78704442,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.80622271,43.01403965,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.87492283,42.89047719,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7944292,42.9105935,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.78300847,42.96289948,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.76999277,42.80872706,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.74953053,42.83107806,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7944491,42.9106634,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.88099509,42.91524757,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.87592198,42.90295543,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.87600342,42.9029702,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.76993267,42.80872144,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.73505214,42.86631976,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.82760318,42.95072911,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.74966506,42.83101161,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7943166,42.9108601,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.85624054,42.95365054,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.51957394,43.0214686,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7945632,42.9106561,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7958692,42.9738537,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7958692,42.9738537,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7943304,42.9107333,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7945163,42.9107478,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.96889751,43.04952359,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.85850454,42.9432743,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7945665,42.9106738,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.85867495,42.94323369,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.82858981,42.93527758,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.73513019,42.86630607,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.71378423,42.78701315,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.71051429,42.81823849,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7945699,42.910644,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.725673,42.9209112,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.7945821,42.9106535,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.80075037,42.7843681,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.73506546,42.86629665,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.73511083,42.8663254,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.73512036,42.86627272,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.8147515,42.928884,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.8238138,42.8415659,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.725673,42.9209112,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
-78.95271759,42.99792409,2,3e-04,0.0636760693015701,1847,0.0358169932474569,6,"WGS84"
